keyword,avg_home_score
hardcourt,1.14
outdoor,1.15
los,1.09
cabos,0.4
mexico,0.4
atp,1.36
men,1.14
single,1.3
2025,1.11
colton,1.44
smith,1.08
usa,1.15
red,0.82
clay,0.93
hamburg,1.0
germany,1.0
wta,1.14
woman,1.04
louisa,0.67
chirico,0.67
granby,1.35
canada,1.32
challenger,1.34
eliot,1.33
spizzirri,1.33
patrick,1.42
kypson,1.4
pozoblanco,2.0
spain,2.0
darwin,1.5
blanch,1.6
qualifying,1.5
karl,0.67
poling,0.83
andres,1.43
martin,1.21
alfredo,1.29
perez,1.29
maloney,1.43
porto,0.33
portugal,0.33
125,0.88
125k,0.88
emina,1.5
bektas,1.5
rome,1.2
italy,1.0
varvara,1.33
lepchenko,1.33
claire,1.25
liu,0.8
itf,1.11
m15,1.07
hillcrest,0.86
gray,0.67
voelzke,0.0
adhithya,1.5
ganesan,1.5
billy,1.0
suarez,1.0
nakhon,1.33
pathom,1.33
michael,1.21
zhu,1.29
rochester,0.9
alexander,1.27
razeghi,2.0
matthew,1.17
forbes,1.33
matt,0.0
kuhar,0.0
liam,1.33
krall,1.38
drew,0.6
fishback,0.88
santa,1.2
tecla,1.2
alex,0.72
finkelstein,1.0
noah,1.27
schachter,1.5
slobozia,0.0
julian,0.0
messina,0.0
frusina,0.0
m25,1.09
gandia,2.0
tristan,1.35
mccormick,1.5
kramsach,1.0
richard,0.33
zusman,0.33
w15,1.28
victoria,1.5
mulville,1.0
hibah,1.0
shaikh,1.0
huamantla,1.38
ava,1.36
rodriguez,2.0
shria,0.0
atturu,0.0
luan,1.43
amy,1.08
w35,1.05
monastir,1.09
malkia,1.0
ngounoue,1.44
w75,1.15
lilian,0.67
katrina,1.5
scott,1.5
vitoria,1.0
gasteiz,1.0
ellie,1.0
schoppe,1.0
utr,1.06
ptt,1.06
brisbane,0.0
group,1.01
oliver,0.0
statham,0.0
krakow,1.12
teodor,1.5
davidov,1.5
indoor,0.94
boston,0.79
sophia,1.14
holod,1.5
bruno,1.36
jennifer,0.25
riester,0.25
alice,1.0
ellison,1.2
reynoldson,1.2
elana,0.0
zaretsky,0.0
yana,0.0
gurevich,0.0
julie,0.0
bedard,0.0
allison,0.73
nicole,0.73
isaac,0.73
dusseldorf,1.0
karma,1.25
yacavino,1.25
tola,1.5
glowacka,1.5
emilio,2.0
nava,2.0
govind,0.0
nanda,0.0
aidan,1.29
mayo,1.29
preston,0.33
brown,1.29
andrew,1.25
delgado,1.33
van,1.92
orderlain,1.0
maksim,0.0
tikhomirov,0.0
daniel,1.47
milavsky,1.47
zachary,1.62
cohen,0.0
castelo,0.5
branco,0.5
axel,0.75
nefve,0.75
louisville,1.35
dillon,0.0
beckles,0.0
nicolas,1.25
ian,1.53
kotzen,1.09
samir,1.38
banerjee,1.38
sekou,1.0
bangoura,1.0
kelly,2.0
giese,2.0
mayew,1.5
keshav,0.0
chopra,0.0
kobelt,0.0
christian,1.0
langmo,1.0
jack,1.0
anthrop,2.0
dalayna,2.0
hewitt,2.0
sydney,1.33
jara,1.33
dasha,1.0
ivanova,1.0
julia,0.8
adam,1.0
w50,0.89
nottingham,1.0
jamilah,0.67
snells,0.67
fiona,1.71
crawley,1.71
lea,1.25
maria,1.0
mateas,1.0
ayana,1.5
akli,1.5
newport,1.09
beach,1.09
brooklyn,1.29
olson,1.29
maya,0.25
youssef,0.25
mika,1.33
ikemori,1.33
myanh,0.0
holmes,0.0
polina,0.67
marakhtanova,0.67
hina,0.6
inoue,0.6
ilija,1.0
palavestra,1.0
nathan,0.8
cox,0.0
cyrus,0.0
mahjoob,0.0
evan,0.85
bynoe,1.17
antonius,0.5
victor,1.5
lilov,1.5
thomson,1.0
vignesh,2.0
gogineni,2.0
anne,1.67
christine,1.67
lutkemeyer,1.67
obregon,1.67
ashley,1.17
lahey,1.17
caroline,1.46
driscoll,1.8
webster,0.67
manzi,1.0
paula,1.0
dougherty,1.0
camille,1.29
kiss,1.17
maxine,1.6
murphy,1.43
ryan,1.05
dickerson,1.43
haley,1.5
giavara,1.5
playoff,1.19
aleksandar,0.33
kovacevic,0.33
washington,1.44
thaison,0.0
kwiatkowski,0.0
tyler,1.33
zink,1.6
clervie,1.83
dolehide,1.33
bernard,1.75
